Elapsed_seconds	Rx-Mbps_[with_hdr]
302.50	6163.52
303.00	6162.32
303.50	6163.20
304.00	6163.19
304.50	6162.61
305.00	6163.43
305.50	6163.71
306.00	6163.11
306.50	6163.69
307.00	6163.68
307.50	6163.74
308.00	6164.06
308.50	6164.18
309.00	6162.84
309.50	6162.90
310.00	6163.08
310.50	6163.13
311.00	6162.70
311.50	6163.17
312.00	6163.32
312.50	6163.43
313.00	6162.95
313.50	6162.32
314.00	6163.01
314.50	6163.24
315.00	6163.62
315.50	6163.47
316.00	6163.86
316.50	6163.26
317.00	6162.18
317.50	6163.67
318.00	6163.44
318.50	6163.81
319.00	6163.96
319.50	6163.13
320.00	6163.05
320.50	6163.23
321.00	6162.74
321.50	6162.25
322.00	6162.71
322.50	6162.64
323.00	6162.35
323.50	6162.56
324.00	6163.15
324.50	6162.92
325.00	6162.91
325.50	6162.66
326.00	6163.88
326.50	6162.40
327.00	6163.32
327.50	6163.26
328.00	6162.57
328.50	6164.18
329.00	6163.15
329.50	6163.47
330.00	6162.79
330.50	6162.55
331.00	6163.60
331.50	6162.90
332.00	6163.86
332.50	6163.87
333.00	6163.00
333.50	6163.26
334.00	6163.05
334.50	6163.05
335.00	6163.55
335.50	6162.44
336.00	6163.38
336.50	6163.64
337.00	6163.68
337.50	6163.55
338.00	6164.06
338.50	6163.33
339.00	6162.46
339.50	6162.70
340.00	6163.22
340.50	6163.22
341.00	6163.42
341.50	6162.78
342.00	6162.80
342.50	6163.27
343.00	6162.53
343.50	6163.77
344.00	6162.97
344.50	6162.06
345.00	6163.54
345.50	6163.22
346.00	6162.76
346.50	6163.35
347.00	6163.32
347.50	6162.96
348.00	6163.41
348.50	6162.96
349.00	6163.46
349.50	6162.84
350.00	6162.29
350.50	6163.47
351.00	6163.32
351.50	6162.84
352.00	6164.03
352.50	6163.62
353.00	6163.49
353.50	6164.29
354.00	6163.63
354.50	6162.77
355.00	6163.05
355.50	6162.88
356.00	6163.95
356.50	6162.75
357.00	6163.39
357.50	6163.42
358.00	6162.74
358.50	6163.69
359.00	6162.52
359.50	6163.65
360.00	6164.00
360.50	6162.40
361.00	6159.33
361.50	6144.82
362.00	6144.77
362.50	6144.06
363.00	6143.41
363.50	6143.44
364.00	6143.75
364.50	6143.55
365.00	6144.32
365.50	6145.38
366.00	6144.15
366.50	6143.20
367.00	6144.82
367.50	6144.20
368.00	6144.26
368.50	6144.01
369.00	6144.48
369.50	6144.59
370.00	6144.71
370.50	6143.90
371.00	6144.21
371.50	6145.35
372.00	6144.20
372.50	6144.48
373.00	6144.07
373.50	6143.68
374.00	6144.84
374.50	6144.74
375.00	6145.42
375.50	6144.81
376.00	6144.56
376.50	6144.98
377.00	6144.39
377.50	6143.51
378.00	6144.30
378.50	6143.74
379.00	6145.11
379.50	6144.31
380.00	6144.73
380.50	6143.65
381.00	6143.70
381.50	6143.37
382.00	6143.95
382.50	6144.40
383.00	6144.50
383.50	6143.69
384.00	6144.04
384.50	6144.62
385.00	6144.95
385.50	6143.83
386.00	6143.12
386.50	6143.34
387.00	6137.83
387.50	6143.77
388.00	6144.11
388.50	6144.86
389.00	6143.71
389.50	6145.20
390.00	6140.10
390.50	6140.94
391.00	6143.96
391.50	6144.27
392.00	6144.23
392.50	6143.84
393.00	6143.78
393.50	6143.81
394.00	6143.78
394.50	6142.98
395.00	6143.84
395.50	6144.01
396.00	6144.63
396.50	6145.28
397.00	6144.99
397.50	6144.33
398.00	6145.27
398.50	6143.70
399.00	6143.98
399.50	6143.82
400.00	6144.04
400.50	6144.27
401.00	6144.66
401.50	6145.00
402.00	6145.08
402.50	6143.88
403.00	6144.28
403.50	6143.82
404.00	6144.71
404.50	6145.36
405.00	6145.05
405.50	6144.72
406.00	6143.90
406.50	6145.21
407.00	6144.27
407.50	6143.54
408.00	6143.94
408.50	6143.21
409.00	6143.32
409.50	6143.12
410.00	6143.98
410.50	6144.32
411.00	6143.81
411.50	6143.57
412.00	6143.73
