Elapsed_seconds	Rx-Mbps_[with_hdr]
312.50	16785.31
313.00	16786.55
313.50	20525.33
314.00	21671.64
314.50	21546.80
315.00	21560.85
315.50	21565.64
316.00	21542.57
316.50	21547.21
317.00	21562.88
317.50	21541.98
318.00	21571.50
318.50	21541.56
319.00	21549.27
319.50	21565.15
320.00	21541.77
320.50	21579.53
321.00	21514.26
321.50	21565.84
322.00	21548.88
322.50	21548.05
323.00	21563.06
323.50	21546.62
324.00	21557.52
324.50	21550.66
325.00	21558.25
325.50	21562.20
326.00	21568.20
326.50	21524.17
327.00	21561.17
327.50	21563.79
328.00	21552.65
328.50	21553.87
329.00	21552.67
329.50	21558.95
330.00	21538.50
330.50	21540.96
331.00	21540.63
331.50	21538.15
332.00	21561.13
332.50	21554.90
333.00	21540.45
333.50	21535.70
334.00	21530.40
334.50	21557.60
335.00	21558.93
335.50	21534.98
336.00	21540.90
336.50	21557.39
337.00	21563.39
337.50	21552.77
338.00	21555.87
338.50	21546.28
339.00	21590.03
339.50	21561.90
340.00	21558.61
340.50	21567.11
341.00	21553.96
341.50	21556.41
342.00	21569.01
342.50	21574.30
343.00	21562.26
343.50	21548.15
344.00	21563.80
344.50	21551.84
345.00	21565.72
345.50	21571.23
346.00	21567.47
346.50	21570.98
347.00	21561.77
347.50	21557.85
348.00	21546.90
348.50	21548.88
349.00	21540.36
349.50	21544.06
350.00	21573.41
350.50	21551.44
351.00	21566.14
351.50	21556.22
352.00	21567.11
352.50	21557.44
353.00	21554.58
353.50	21559.99
354.00	21562.26
354.50	21553.93
355.00	21570.01
355.50	21553.45
356.00	21555.31
356.50	21559.46
357.00	21584.49
357.50	21554.93
358.00	21610.85
358.50	21566.45
359.00	21572.03
359.50	21556.58
360.00	21559.85
360.50	21548.59
361.00	21560.58
361.50	21563.11
362.00	21584.29
362.50	21555.99
363.00	21565.78
363.50	21653.74
364.00	21568.19
364.50	21564.23
365.00	21656.01
365.50	21585.18
366.00	21582.74
366.50	21558.49
367.00	21556.91
367.50	21572.69
368.00	21557.83
368.50	21562.36
369.00	21572.88
369.50	21542.10
370.00	21538.19
370.50	21550.45
371.00	21559.57
371.50	21545.65
372.00	21549.76
372.50	21546.44
373.00	21559.25
373.50	21386.83
374.00	12427.54
374.50	0.00
375.00	0.00
375.50	0.00
376.00	0.00
376.50	0.00
377.00	0.00
377.50	0.00
378.00	0.00
378.50	0.00
379.00	0.00
379.50	0.00
380.00	0.00
380.50	0.00
381.00	0.00
381.50	0.00
382.00	0.00
382.50	0.00
383.00	0.00
383.50	0.00
384.00	0.00
384.50	0.00
385.00	0.00
385.50	0.00
386.00	0.00
386.50	0.00
387.00	0.00
